heading,vehicleid,objectid1,speedmph,location_timestamp,datetimeprocessed,x,y
0,210,188430005,0,1637906255000,1637906320156,-76.11002447,43.05588746
0,251,194580019,0,1637911046000,1637911190446,-76.10716405,43.05537478
0,254,194750004,0,1637911441000,1637911470322,-76.10721666,43.05542822
0,211,197200004,0,1637913268000,1637913410328,-76.10950124,43.05597639
0,210,216410010,0,1637928038000,1637928240271,-76.11002447,43.05588746
0,251,221790026,0,1637932828000,1637932870306,-76.10716405,43.05537478
0,254,222980002,0,1637933223000,1637933830298,-76.10721666,43.05542822
0,211,224630009,0,1637935049000,1637935170368,-76.10950124,43.05597639
0,209,227000022,0,1637936939000,1637936970769,-76.1081301,43.05600645
0,209,227390003,0,1637937031000,1637937220277,-76.1081301,43.05600645
0,210,244110014,0,1637949820000,1637950030221,-76.11002447,43.05588746
0,209,244510002,0,1637950178000,1637950210169,-76.10960323,43.05542323
0,209,244550008,0,1637950268000,1637950320504,-76.10956808,43.05545047
0,209,244610002,0,1637950369000,1637950380188,-76.10916137,43.05548126
0,209,246290003,0,1637951399000,1637951720169,-76.10916137,43.05548126
0,209,247120003,0,1637952321000,1637952330178,-76.10983103,43.05529057
245,209,247160008,5,1637952332000,1637952340357,-76.10981866,43.05549815
161,209,247220021,9,1637952344000,1637952350376,-76.10988542,43.05528087
163,209,247370014,8,1637952356000,1637952361490,-76.10972134,43.05502475
0,209,247350000,0,1637952367000,1637952370246,-76.10909698,43.05482334
0,209,247370018,0,1637952377000,1637952380174,-76.10825522,43.05466671
86,209,247260007,14,1637952387000,1637952390606,-76.10736666,43.05470874
16,209,247370017,8,1637952398000,1637952400196,-76.10698352,43.05486503
335,209,247240012,9,1637952403000,1637952410874,-76.10704148,43.05501173
337,209,247320003,9,1637952417000,1637952420353,-76.10736524,43.05556705
315,209,247370019,9,1637952427000,1637952430216,-76.10762113,43.05589771
286,209,247280008,9,1637952434000,1637952440155,-76.10793719,43.05602635
315,209,247260016,9,1637952446000,1637952450195,-76.10828897,43.05620161
247,209,247370027,6,1637952458000,1637952460209,-76.10885202,43.05623696
239,209,247260029,8,1637952468000,1637952470329,-76.10917634,43.0560763
0,209,247500008,0,1637952474000,1637952480277,-76.10946644,43.05600167
221,209,247420001,5,1637952486000,1637952490168,-76.10989948,43.05587545
