OID_,granularmo,GranularSe,GranularTo,servicetyp,speedmph,vehiclefle,vehicleid,xcoord,ycoord,reporttime
3,M,0,66374,Idle,0,Fleet,H68,-88.14645,41.86508,1641285986
64,C,0,106125,Idle,0,Fleet,H84,-88.14612,41.86525,1643387691
16,C,0,540516,Idle,0,Fleet,H95,-88.14602,41.86527,1643923052
2,C,0,613728,Idle,0,Fleet,H79,-88.14597,41.86512,1643923413
0,C,0,540642,Idle,0,Fleet,H87,-88.14588,41.86473,1643923923
11,C,0,544649,Idle,0,Fleet,H86,-88.14582,41.86477,1643924432
17,C,0,568446,Idle,0,Fleet,H89,-88.14608,41.86505,1643924522
13,C,0,411129,Idle,0,Fleet,H71,-88.14588,41.865,1643924703
5,C,0,592538,In Transit,24,Fleet,H72,-88.12012,41.75277,1643961812
4,C,0,591206,Idle,0,Fleet,H69,-87.97537,41.77427,1643966643
43,C,0,559766,Idle,0,Fleet,H70,-87.97213,41.83155,1643966942
556,C,200,1004370,Spreading,24,Fleet,H67,-88.06313,41.9047,1643966943
111,C,0,649961,In Transit,26,Fleet,H60,-87.96523,41.7519,1643967033
148,C,0,239735,In Transit,24,Fleet,H75,-88.03722,41.80907,1643967033
50,C,0,586482,Idle,0,Fleet,H62,-88.25348,41.97987,1643967036
59,C,0,685080,In Transit,20,Fleet,H93,-88.14932,41.90452,1643967036
423,M,0,30939,In Transit,31,Fleet,H74,-88.03113,41.75305,1643967037
427,C,200,429404,Spreading,11,Fleet,H78,-87.97893,41.96398,1643967037
84,C,0,76417,In Transit,26,Fleet,H85,-88.20007,41.80915,1643967037
485,C,0,649961,In Transit,35,Fleet,H60,-87.95938,41.75203,1643967063
406,C,200,1004370,Spreading,6,Fleet,H67,-88.06323,41.90363,1643967063
189,M,0,30939,Idle,0,Fleet,H74,-88.03112,41.75102,1643967064
154,C,200,429404,Spreading,11,Fleet,H78,-87.97895,41.96365,1643967064
359,C,0,76423,Idle,0,Fleet,H85,-88.20325,41.80978,1643967064
338,C,0,649961,In Transit,29,Fleet,H60,-87.95562,41.7521,1643967092
54,C,0,559768,In Transit,20,Fleet,H70,-87.95413,41.83223,1643967092
134,C,0,239735,In Transit,31,Fleet,H75,-88.03048,41.81342,1643967092
20,C,0,1004454,Spreading,33,Fleet,H67,-88.06347,41.9006,1643967093
202,C,0,685083,In Transit,13,Fleet,H93,-88.15045,41.90512,1643967093
240,C,0,429454,In Transit,22,Fleet,H78,-87.97888,41.96035,1643967094
874,C,0,649961,In Transit,33,Fleet,H60,-87.94765,41.75237,1643967129
52,C,0,685083,Idle,0,Fleet,H93,-88.15042,41.90747,1643967129
419,C,0,1004454,Spreading,33,Fleet,H67,-88.06357,41.89638,1643967130
306,C,0,429454,In Transit,26,Fleet,H78,-87.97888,41.95842,1643967131
146,C,0,649961,Idle,0,Fleet,H60,-87.94512,41.75255,1643967154
616,C,0,1004465,In Transit,31,Fleet,H67,-88.06347,41.89235,1643967154
75,C,0,239735,In Transit,26,Fleet,H75,-88.02795,41.82013,1643967154
139,M,0,30939,In Transit,17,Fleet,H74,-88.0309,41.75068,1643967156
261,C,200,429454,Spreading,29,Fleet,H78,-87.97778,41.95252,1643967156
381,C,0,76423,In Transit,4,Fleet,H85,-88.20327,41.80978,1643967156
236,C,0,1004465,Idle,0,Fleet,H67,-88.06368,41.89047,1643967184
197,M,0,30939,In Transit,38,Fleet,H74,-88.02342,41.7508,1643967187
103,C,0,429481,In Transit,24,Fleet,H78,-87.9768,41.95073,1643967187
412,C,0,76423,In Transit,31,Fleet,H85,-88.20922,41.81048,1643967187
316,C,0,1004465,In Transit,11,Fleet,H67,-88.0637,41.88992,1643967214
214,C,0,559777,In Transit,15,Fleet,H70,-87.9484,41.83235,1643967214
78,C,500,239735,Spreading,24,Fleet,H75,-88.02517,41.82617,1643967214
389,C,0,685083,In Transit,8,Fleet,H93,-88.15038,41.90767,1643967214
296,M,0,30939,In Transit,33,Fleet,H74,-88.01925,41.7509,1643967215
285,C,200,429481,Spreading,22,Fleet,H78,-87.97778,41.94488,1643967215
49,C,0,76423,In Transit,2,Fleet,H85,-88.211,41.81042,1643967215
165,C,500,239735,Spreading,24,Fleet,H75,-88.02528,41.82825,1643967242
170,C,0,1004480,In Transit,31,Fleet,H67,-88.0578,41.89005,1643967243
91,C,0,685083,In Transit,26,Fleet,H93,-88.1503,41.91168,1643967243
