granularmode,GranularSetting,GranularTotal,heading,servicetype,speedmph,spreaderstatus,vehicleid,xcoord,ycoord,reporttimeepoch
M,0,66374,0,Idle,0,P,H68,-88.14645,41.86508,1641285986
C,0,106125,10,Idle,0,P,H84,-88.14612,41.86525,1643387691
C,0,540516,0,Idle,0,O,H95,-88.14602,41.86527,1643923052
C,0,613728,0,Idle,0,O,H79,-88.14597,41.86512,1643923413
C,0,540642,0,Idle,0,O,H87,-88.14588,41.86473,1643923923
C,0,544649,0,Idle,0,O,H86,-88.14582,41.86477,1643924432
C,0,568446,98,Idle,0,O,H89,-88.14608,41.86505,1643924522
C,0,411129,0,Idle,0,O,H71,-88.14588,41.865,1643924703
C,0,592538,254,In Transit,24,O,H72,-88.12012,41.75277,1643961812
C,0,591206,0,Idle,0,O,H69,-87.97537,41.77427,1643966643
C,0,559766,86,Idle,0,O,H70,-87.97213,41.83155,1643966942
C,200,1004370,186,Spreading,24,S,H67,-88.06313,41.9047,1643966943
C,0,649961,84,In Transit,26,O,H60,-87.96523,41.7519,1643967033
C,0,239735,32,In Transit,24,O,H75,-88.03722,41.80907,1643967033
C,0,586482,186,Idle,0,O,H62,-88.25348,41.97987,1643967036
C,0,685080,292,In Transit,20,O,H93,-88.14932,41.90452,1643967036
M,0,30939,178,In Transit,31,O,H74,-88.03113,41.75305,1643967037
C,200,429404,178,Spreading,11,S,H78,-87.97893,41.96398,1643967037
C,0,76417,284,In Transit,26,O,H85,-88.20007,41.80915,1643967037
C,0,649961,88,In Transit,35,O,H60,-87.95938,41.75203,1643967063
C,200,1004370,182,Spreading,6,S,H67,-88.06323,41.90363,1643967063
M,0,30939,180,Idle,0,O,H74,-88.03112,41.75102,1643967064
C,200,429404,180,Spreading,11,S,H78,-87.97895,41.96365,1643967064
C,0,76423,288,Idle,0,O,H85,-88.20325,41.80978,1643967064
C,0,649961,88,In Transit,29,O,H60,-87.95562,41.7521,1643967092
C,0,559768,88,In Transit,20,O,H70,-87.95413,41.83223,1643967092
C,0,239735,34,In Transit,31,O,H75,-88.03048,41.81342,1643967092
C,0,1004454,182,Spreading,33,S,H67,-88.06347,41.9006,1643967093
C,0,685083,0,In Transit,13,O,H93,-88.15045,41.90512,1643967093
C,0,429454,178,In Transit,22,O,H78,-87.97888,41.96035,1643967094
C,0,649961,80,In Transit,33,O,H60,-87.94765,41.75237,1643967129
C,0,685083,2,Idle,0,O,H93,-88.15042,41.90747,1643967129
C,0,1004454,178,Spreading,33,S,H67,-88.06357,41.89638,1643967130
C,0,429454,180,In Transit,26,O,H78,-87.97888,41.95842,1643967131
C,0,649961,0,Idle,0,O,H60,-87.94512,41.75255,1643967154
C,0,1004465,178,In Transit,31,O,H67,-88.06347,41.89235,1643967154
C,0,239735,34,In Transit,26,O,H75,-88.02795,41.82013,1643967154
M,0,30939,122,In Transit,17,O,H74,-88.0309,41.75068,1643967156
C,200,429454,154,Spreading,29,S,H78,-87.97778,41.95252,1643967156
C,0,76423,288,In Transit,4,O,H85,-88.20327,41.80978,1643967156
C,0,1004465,188,Idle,0,O,H67,-88.06368,41.89047,1643967184
M,0,30939,88,In Transit,38,O,H74,-88.02342,41.7508,1643967187
C,0,429481,162,In Transit,24,O,H78,-87.9768,41.95073,1643967187
C,0,76423,268,In Transit,31,O,H85,-88.20922,41.81048,1643967187
C,0,1004465,130,In Transit,11,O,H67,-88.0637,41.88992,1643967214
C,0,559777,88,In Transit,15,O,H70,-87.9484,41.83235,1643967214
C,500,239735,354,Spreading,24,S,H75,-88.02517,41.82617,1643967214
C,0,685083,2,In Transit,8,O,H93,-88.15038,41.90767,1643967214
M,0,30939,88,In Transit,33,O,H74,-88.01925,41.7509,1643967215
C,200,429481,198,Spreading,22,S,H78,-87.97778,41.94488,1643967215
C,0,76423,154,In Transit,2,O,H85,-88.211,41.81042,1643967215
C,500,239735,356,Spreading,24,S,H75,-88.02528,41.82825,1643967242
C,0,1004480,88,In Transit,31,O,H67,-88.0578,41.89005,1643967243
C,0,685083,358,In Transit,26,O,H93,-88.1503,41.91168,1643967243
C,0,429491,196,In Transit,24,O,H78,-87.97812,41.94412,1643967244
C,0,76423,64,In Transit,2,O,H85,-88.21082,41.81033,1643967244
M,0,30939,88,Idle,0,O,H74,-88.01307,41.7511,1643967245
C,500,239735,52,Spreading,6,S,H75,-88.02538,41.83143,1643967272
C,0,1004480,90,In Transit,29,O,H67,-88.05225,41.89025,1643967273
C,0,685083,358,In Transit,29,O,H93,-88.15035,41.91427,1643967273
C,0,429491,170,In Transit,31,O,H78,-87.9784,41.94033,1643967274
C,0,76429,100,In Transit,24,O,H85,-88.20523,41.81015,1643967274
C,0,649961,164,In Transit,11,O,H60,-87.94225,41.7556,1643967303
C,500,239735,0,Spreading,2,S,H75,-88.02445,41.8321,1643967303
C,0,1004480,84,In Transit,11,O,H67,-88.04918,41.88995,1643967304
C,0,685083,0,In Transit,35,O,H93,-88.15045,41.91857,1643967304
C,0,429491,174,In Transit,33,O,H78,-87.97778,41.93615,1643967305
C,0,76429,104,In Transit,2,O,H85,-88.20407,41.8099,1643967305
C,0,1004480,36,In Transit,26,O,H67,-88.04657,41.89193,1643967333
C,0,559777,88,In Transit,24,O,H70,-87.9307,41.83277,1643967333
C,500,239735,200,Spreading,2,S,H75,-88.02453,41.83195,1643967333
C,0,685083,0,In Transit,38,O,H93,-88.15038,41.924,1643967333
C,0,429491,176,In Transit,31,O,H78,-87.97657,41.93262,1643967334
M,0,30939,356,In Transit,22,O,H74,-88.01257,41.75167,1643967335
C,0,76429,104,In Transit,17,O,H85,-88.19867,41.80885,1643967335
C,0,649961,0,Idle,0,O,H60,-87.94392,41.7526,1643967362
C,0,1004480,10,In Transit,29,O,H67,-88.04532,41.89567,1643967363
C,0,559777,126,In Transit,6,O,H70,-87.92878,41.83275,1643967363
C,0,239750,202,In Transit,11,O,H75,-88.0255,41.8315,1643967363
C,0,429491,208,Idle,0,O,H78,-87.97828,41.92937,1643967363
C,0,685083,0,In Transit,31,O,H93,-88.15033,41.9281,1643967363
M,0,30939,56,In Transit,35,O,H74,-88.0113,41.75557,1643967365
C,0,76429,248,In Transit,2,O,H85,-88.19802,41.80892,1643967366
C,0,1004480,12,In Transit,26,O,H67,-88.04423,41.89958,1643967392
C,0,429491,212,In Transit,8,O,H78,-87.97833,41.9293,1643967393
