OID_,Device,Device_Group,datetimerecorded,Speed,Longitude,Latitude,Ignition,Aux1,Valid,Valid_GPS,datetime1
1,Fleet Parts Runner SF110331,Parts,12/10/2021 8:00:17 AM,1,-96.730750000000000,43.554710000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:00:17
2,Fleet Parts Runner SF110331,Parts,12/10/2021 8:00:26 AM,0,-96.730770000000007,43.554639999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:00:26
3,Fleet Parts Runner SF110331,Parts,12/10/2021 8:00:27 AM,1,-96.730770000000007,43.554659999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:00:27
4,Fleet Parts Runner SF110331,Parts,12/10/2021 8:00:33 AM,6,-96.730930000000001,43.554580000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:00:33
5,Fleet Parts Runner SF110331,Parts,12/10/2021 8:00:42 AM,12,-96.730930000000001,43.554180000000002,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:00:42
6,Fleet Parts Runner SF110331,Parts,12/10/2021 8:00:48 AM,2,-96.730879999999999,43.554020000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:00:48
7,Fleet Parts Runner SF110331,Parts,12/10/2021 8:00:54 AM,5,-96.730879999999999,43.553919999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:00:54
8,Fleet Parts Runner SF110331,Parts,12/10/2021 8:01:00 AM,4,-96.731059999999999,43.553870000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:00
9,Fleet Parts Runner SF110331,Parts,12/10/2021 8:01:06 AM,11,-96.731219999999993,43.553970000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:06
10,Street Sander SF829036,"Sanders, Sanders",12/10/2021 8:01:07 AM,0,-96.708399999999997,43.512500000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:07
11,Street Sander SF829046,"Sanders, Sanders",12/10/2021 8:01:08 AM,0,-96.753969999999995,43.564929999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:08
12,Fleet Parts Runner SF110331,Parts,12/10/2021 8:01:11 AM,23,-96.731219999999993,43.554360000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:11
13,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:01:19 AM,0,-96.722629999999995,43.572969999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:19
14,Fleet Parts Runner SF110331,Parts,12/10/2021 8:01:24 AM,22,-96.731219999999993,43.555579999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:24
15,Street Sander SF829038,"Sanders, Sanders",12/10/2021 8:01:28 AM,0,-96.764849999999996,43.541020000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:01:28
16,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:01:32 AM,0,-96.730419999999995,43.517440000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:32
17,Fleet Parts Runner SF110331,Parts,12/10/2021 8:01:38 AM,31,-96.731219999999993,43.557119999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:38
18,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:01:51 AM,1,-96.722610000000003,43.572989999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:51
19,Fleet Parts Runner SF110331,Parts,12/10/2021 8:01:59 AM,35,-96.731219999999993,43.559860000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:01:59
20,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:02:00 AM,15,-96.722610000000003,43.572690000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:00
21,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:02:16 AM,21,-96.722610000000003,43.571530000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:16
22,Fleet Parts Runner SF110331,Parts,12/10/2021 8:02:20 AM,25,-96.731219999999993,43.562550000000002,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:20
23,Fleet Parts Runner SF110331,Parts,12/10/2021 8:02:28 AM,25,-96.731189999999998,43.563369999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:28
24,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:02:31 AM,11,-96.722629999999995,43.570480000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:31
25,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:02:35 AM,11,-96.722459999999998,43.570380000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:35
26,Fleet Parts Runner SF110331,Parts,12/10/2021 8:02:41 AM,0,-96.731219999999993,43.563949999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:41
27,Street Sander SF829036,"Sanders, Sanders",12/10/2021 8:02:46 AM,0,-96.708399999999997,43.512500000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:46
28,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:02:46 AM,7,-96.721760000000003,43.570329999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:46
29,Street Sander SF829046,"Sanders, Sanders",12/10/2021 8:02:47 AM,0,-96.753969999999995,43.564929999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:47
30,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:02:49 AM,2,-96.721739999999997,43.570300000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:49
31,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:02:58 AM,16,-96.721840000000000,43.570000000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:02:58
