Aux1,datetimerecorded,Device,Device_Group,Distance,Heading,Ignition,Latitude,Longitude,MaxDistance,Speed,Speed_file,Valid,Valid_GPS
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,,,TRUE,43.55471,-96.73075,,,1,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,26.06095835,191.6984688,TRUE,43.55464,-96.73077,26.06095835,317.8165653,0,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,18.98120821,196.1661841,TRUE,43.55466,-96.73077,18.98120821,231.4781489,1,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,67.25008748,225.098871,TRUE,43.55458,-96.73093,67.25008748,820.1230181,6,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,198.9979568,193.827495,TRUE,43.55418,-96.73093,198.9979568,2426.804352,12,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,253.8641408,187.7752221,TRUE,43.55402,-96.73088,253.8641408,3095.904157,2,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,290.0201989,186.8009028,TRUE,43.55392,-96.73088,290.0201989,3536.831694,5,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,317.0281487,194.9737844,TRUE,43.55387,-96.73106,317.0281487,3866.196936,4,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,297.1270384,204.7165834,TRUE,43.55397,-96.73122,297.1270384,3623.500469,11,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,178.3296825,224.2218388,TRUE,43.55436,-96.73122,178.3296825,2174.752225,23,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,340.7252805,338.6192812,TRUE,43.55558,-96.73122,340.7252805,4155.186348,22,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829036,"Sanders, Sanders",,,TRUE,43.5125,-96.7084,,,0,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",,,TRUE,43.57297,-96.72263,,,0,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,911.8296373,352.50883,TRUE,43.55712,-96.73122,911.8296373,61.11868338,31,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,1906.49429,356.4253646,TRUE,43.55986,-96.73122,1906.49429,127.7896836,35,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,2885.766088,357.6393882,TRUE,43.56255,-96.73122,2885.766088,193.4289221,25,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,3184.147625,358.0034156,TRUE,43.56337,-96.73119,3184.147625,213.429025,25,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,3395.714288,357.9940983,TRUE,43.56395,-96.73122,3395.714288,227.6100468,0,TRUE,TRUE
TRUE,5/17/2022 14:40,Street Sander SF829038,"Sanders, Sanders",,,TRUE,43.54102,-96.76485,,,0,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829042,"Sanders, Sanders",,,TRUE,43.51744,-96.73042,,,0,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",9.013502582,35.92320987,TRUE,43.57299,-96.72261,9.013502582,0.60416265,1,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",102.2014968,177.037584,TRUE,43.57269,-96.72261,102.2014968,6.850425419,15,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",524.9270461,179.4234692,TRUE,43.57153,-96.72261,524.9270461,35.18513614,21,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",907.6399906,180,TRUE,43.57048,-96.72263,907.6399906,60.83785713,11,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",945.1658584,177.2772982,TRUE,43.57038,-96.72246,945.1658584,63.35316432,11,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,2489.638787,0.18235741,TRUE,43.56395,-96.73119,2489.638787,165.9869849,1,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,2547.960666,0.178182832,TRUE,43.56411,-96.73119,2547.960666,169.8753694,16,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,338.9976336,0,TRUE,43.56488,-96.73119,2489.638787,338997.6336,30,TRUE,TRUE
FALSE,5/17/2022 14:40,Fleet Parts Runner SF110331,Parts,1476.280422,0,TRUE,43.568,-96.73119,2489.638787,1476280.422,37,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",995.4332088,166.9644044,TRUE,43.57033,-96.72176,995.4332088,66.36663836,7,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",1007.288084,166.8119644,TRUE,43.5703,-96.72174,1007.288084,67.15701608,2,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",1108.837807,169.4309682,TRUE,43.57,-96.72184,1108.837807,73.92744898,16,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",1400.157777,178.5948849,TRUE,43.56915,-96.72248,1400.157777,93.35007515,25,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",803.4821798,206.5742534,TRUE,43.56836,-96.72312,995.4332088,803482.1798,26,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",1166.856529,206.2111163,TRUE,43.56746,-96.72371,1166.856529,1166856.529,29,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",1472.768524,205.9681188,TRUE,43.5667,-96.7242,1472.768524,1472768.524,24,TRUE,TRUE
FALSE,5/17/2022 14:40,Street Sander SF829044,"Sanders, Sanders",1712.856802,209.9006216,TRUE,43.56626,-96.72499,1712.856802,1712856.802,27,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,1363.538999,1.109851137,TRUE,43.56862,-96.73109,1363.538999,90.90866048,38,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,1714.337448,5.65851739,TRUE,43.56956,-96.73055,1714.337448,114.296783,37,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,1989.076013,6.633635808,TRUE,43.5703,-96.73032,1989.076013,132.6139084,38,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,2728.531514,5.554485926,TRUE,43.57233,-96.73019,2728.531514,181.9142286,39,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,3718.499472,10.47623376,TRUE,43.57491,-96.72863,3718.499472,247.9164926,38,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,4006.085115,10.63756215,TRUE,43.57568,-96.72839,4006.085115,267.090147,40,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",1293.310953,219.3448686,TRUE,43.56562,-96.72622,1293.310953,86.22647862,30,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",1961.300757,220.7518018,TRUE,43.56429,-96.72796,1961.300757,130.7621013,27,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",2186.563497,225.4605305,TRUE,43.56416,-96.72901,2186.563497,145.7806185,27,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",2425.962022,230.7740591,TRUE,43.56416,-96.73022,2425.962022,161.7415842,22,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",2585.335466,234.0951679,TRUE,43.56421,-96.73103,2585.335466,172.3671889,0,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,4903.011948,8.267946324,TRUE,43.58193,-96.72842,4903.011948,326.8674632,45,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,6229.571829,6.180430408,TRUE,43.58561,-96.72855,6229.571829,415.3047886,39,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,1801.73444,358.0684972,TRUE,43.58687,-96.72865,4903.011948,1801734.44,39,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,3098.744368,359.1212752,TRUE,43.59043,-96.7286,4903.011948,3098744.368,39,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,3459.576204,359.2129448,TRUE,43.59142,-96.7286,4903.011948,3459576.204,45,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",1374.632738,247.9755383,TRUE,43.56421,-96.73103,1374.632738,91.64218256,2,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",1399.251319,248.3824193,TRUE,43.56421,-96.73113,1399.251319,93.28342129,10,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",1716.095188,252.9002508,TRUE,43.56424,-96.73241,1716.095188,114.4063459,30,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",2317.543294,256.4032084,TRUE,43.56413,-96.73472,2317.543294,154.5028862,33,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",1594.622904,262.8866527,TRUE,43.56367,-96.737,1594.622904,1594622.904,23,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",2203.322768,264.1905022,TRUE,43.5636,-96.7393,2203.322768,2203322.768,33,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,4589.249198,0,TRUE,43.59946,-96.72865,4589.249198,305.9703446,42,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,5048.541973,0.059915495,TRUE,43.60072,-96.72863,5048.541973,336.5919043,35,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,5336.50941,0.056681608,TRUE,43.60151,-96.72863,5336.50941,355.7910134,23,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,5467.748575,0.138302072,TRUE,43.60187,-96.7286,5467.748575,364.5408744,0,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829042,"Sanders, Sanders",23.87315787,242.6554717,TRUE,43.51741,-96.7305,23.87315787,0.795771929,2,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829042,"Sanders, Sanders",97.31534091,252.5053173,TRUE,43.51736,-96.73077,97.31534091,3.243844697,10,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829042,"Sanders, Sanders",164.4195963,259.7489633,TRUE,43.51736,-96.73103,164.4195963,5.480653211,0,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829042,"Sanders, Sanders",178.6610351,264.1245959,TRUE,43.51739,-96.73109,178.6610351,5.955367836,2,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",2740.886689,269.4682799,TRUE,43.5636,-96.74734,2740.886689,182.7379618,39,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",4364.14425,271.3505048,TRUE,43.56395,-96.75346,4364.14425,290.9623475,37,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829044,"Sanders, Sanders",4948.684206,271.8702685,TRUE,43.56411,-96.75566,4948.684206,329.934276,0,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,878.583175,0.860738179,TRUE,43.60187,-96.7286,4589.249198,58.56830711,1,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,885.872673,0.853654683,TRUE,43.60189,-96.7286,4589.249198,59.05424125,4,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,929.2747633,4.888568028,TRUE,43.602,-96.72835,4589.249198,61.94752105,16,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,995.4262942,21.4763304,TRUE,43.602,-96.72727,4589.249198,66.35732913,30,TRUE,TRUE
FALSE,5/17/2022 14:41,Fleet Parts Runner SF110331,Parts,1362.257303,47.70497208,TRUE,43.60197,-96.72484,4589.249198,90.81109944,14,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829042,"Sanders, Sanders",238.0747377,249.3146677,TRUE,43.51721,-96.73126,238.0747377,15.87059114,16,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829042,"Sanders, Sanders",363.3711121,219.3296834,TRUE,43.51667,-96.73129,363.3711121,24.22312593,29,TRUE,TRUE
FALSE,5/17/2022 14:41,Street Sander SF829042,"Sanders, Sanders",583.68296,202.3716237,TRUE,43.51596,-96.73126,583.68296,38.90960336,29,TRUE,TRUE
