Device,DateRecord,Speed,Longitude,Latitude,Ignition,Aux1,Valid,Valid GPS
Fleet Parts Runner SF110331,12/10/2021 08:00:17,0.62137121,-96.73075,43.55471,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:00:26,0,-96.73077,43.55464,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:00:27,1.242742419,-96.73077,43.55466,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:00:33,6.213711739,-96.73093,43.55458,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:00:42,12.42742348,-96.73093,43.55418,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:00:48,2.485484838,-96.73088,43.55402,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:00:54,4.970969677,-96.73088,43.55392,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:01:00,4.349598408,-96.73106,43.55387,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:01:06,11.18468189,-96.73122,43.55397,TRUE,FALSE,TRUE,TRUE
Street Sander SF829036,12/10/2021 08:01:07,0,-96.7084,43.5125,TRUE,FALSE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:01:08,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:01:11,22.9907341,-96.73122,43.55436,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:01:19,0,-96.72263,43.57297,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:01:24,21.74799156,-96.73122,43.55558,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:01:28,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:01:32,0,-96.73042,43.51744,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:01:38,31.06855965,-96.73122,43.55712,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:01:51,1.242742419,-96.72261,43.57299,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:01:59,35.41815948,-96.73122,43.55986,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:02:00,14.91290855,-96.72261,43.57269,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:02:16,20.50524902,-96.72261,43.57153,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:02:20,25.47621918,-96.73122,43.56255,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:02:28,25.47621918,-96.73119,43.56337,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:02:31,10.56331062,-96.72263,43.57048,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:02:35,11.18468189,-96.72246,43.57038,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:02:41,0,-96.73122,43.56395,TRUE,FALSE,TRUE,TRUE
Street Sander SF829036,12/10/2021 08:02:46,0,-96.7084,43.5125,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:02:46,6.835083008,-96.72176,43.57033,TRUE,FALSE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:02:47,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:02:49,1.864113569,-96.72174,43.5703,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:02:58,16.15565109,-96.72184,43.57,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:03:07,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:03:09,25.47621918,-96.72248,43.56915,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:03:13,1.242742419,-96.73119,43.56395,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:03:17,16.15565109,-96.73119,43.56411,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:03:18,26.09758949,-96.72312,43.56836,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:03:25,29.82581711,-96.73119,43.56488,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:03:27,28.58307457,-96.72371,43.56746,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:03:35,24.23347664,-96.7242,43.5667,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:03:42,27.34033203,-96.72499,43.56626,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:03:48,36.66090012,-96.73119,43.568,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:03:52,37.90364456,-96.73109,43.56862,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:03:52,29.82581711,-96.72622,43.56562,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:03:59,36.66090012,-96.73055,43.56956,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:04:04,37.90364456,-96.73032,43.5703,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:04:08,27.34033203,-96.72796,43.56429,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:04:15,27.34033203,-96.72901,43.56416,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:04:17,39.14638519,-96.73019,43.57233,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:04:24,21.74799156,-96.73022,43.56416,TRUE,FALSE,TRUE,TRUE
Street Sander SF829036,12/10/2021 08:04:25,0,-96.7084,43.5125,TRUE,TRUE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:04:26,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:04:35,37.90364456,-96.72863,43.57491,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:04:38,0,-96.73103,43.56421,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:04:40,40.38912582,-96.72839,43.57568,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:04:43,0,-96.73042,43.51744,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:04:46,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:04:57,1.864113569,-96.73103,43.56421,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:05:00,9.941939354,-96.73113,43.56421,TRUE,FALSE,TRUE,TRUE
Street Sander SF829031,12/10/2021 08:05:00,0,-96.71634,43.57125,FALSE,FALSE,TRUE,FALSE
Street Sander SF829044,12/10/2021 08:05:11,29.82581711,-96.73241,43.56424,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:05:16,44.73872757,-96.72842,43.58193,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:05:24,32.93267441,-96.73472,43.56413,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:05:38,39.14638519,-96.72855,43.58561,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:05:39,22.9907341,-96.737,43.56367,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:05:46,39.14638519,-96.72865,43.58687,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:05:54,32.93267441,-96.7393,43.5636,TRUE,FALSE,TRUE,TRUE
Street Sander SF829036,12/10/2021 08:06:04,0,-96.7084,43.5125,TRUE,TRUE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:06:05,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:06:09,39.14638519,-96.7286,43.59043,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:06:15,44.73872757,-96.7286,43.59142,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:06:22,0,-96.73042,43.51744,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:06:25,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Street Sander SF829034,12/10/2021 08:06:28,0,-96.71506,43.57033,FALSE,FALSE,TRUE,FALSE
Street Sander SF829044,12/10/2021 08:06:34,39.14638519,-96.74734,43.5636,TRUE,FALSE,TRUE,TRUE
Street Sander SF829034,12/10/2021 08:06:35,0,-96.71506,43.57033,FALSE,FALSE,TRUE,FALSE
Street Sander SF829042,12/10/2021 08:06:43,1.864113569,-96.7305,43.51741,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:06:50,9.941939354,-96.73077,43.51736,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:06:58,0,-96.73103,43.51736,TRUE,FALSE,TRUE,TRUE
Street Flusher SF820054,12/10/2021 08:06:59,0,-96.71375,43.57135,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:07:02,42.25324249,-96.72865,43.59946,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:07:03,36.66090012,-96.75346,43.56395,TRUE,FALSE,TRUE,TRUE
Street Sander SF829034,12/10/2021 08:07:03,0,-96.71506,43.57033,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:07:10,35.41815948,-96.72863,43.60072,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:07:17,22.9907341,-96.72863,43.60151,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:07:20,2.485484838,-96.73109,43.51739,TRUE,FALSE,TRUE,TRUE
Street Sander SF829037,12/10/2021 08:07:20,0,-96.71378,43.57071,FALSE,FALSE,TRUE,FALSE
Street Sander SF829033,12/10/2021 08:07:21,0,-96.71501,43.57035,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:07:24,0,-96.7286,43.60187,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:07:25,0,-96.75566,43.56411,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:07:26,16.15565109,-96.73126,43.51721,TRUE,FALSE,TRUE,TRUE
Street Sander SF829037,12/10/2021 08:07:27,0,-96.71378,43.57071,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:07:32,0.62137121,-96.7286,43.60187,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:07:32,28.58307457,-96.73129,43.51667,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:07:33,4.349598408,-96.7286,43.60189,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:07:38,16.15565109,-96.72835,43.602,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:07:38,28.58307457,-96.73126,43.51596,TRUE,FALSE,TRUE,TRUE
