OBJECTID	SpeedMetersPerSecond	Location_Longitude	HeadingDegrees	Username	Location_Latitude	ReportTimeDate
8996	5	-87.99837	134	LocalGovDeployRyanN	41.96648	2/4/2021 23:00
9016	14	-87.99223	100	LocalGovDeployRyanN	41.96552	2/4/2021 23:00
9001	9	-87.95623	88	LocalGovDeployMattB	41.78858	2/4/2021 23:00
9017	9	-87.95262	90	LocalGovDeployMattB	41.78865	2/4/2021 23:00
9007	14	-87.99547	100	LocalGovDeployMikeD	41.96603	2/4/2021 23:00
9019	7	-87.99077	100	LocalGovDeployMikeD	41.96533	2/4/2021 23:00
9008	7	-88.2374	100	LocalGovDeployChrisF2	41.97597	2/4/2021 23:00
9013	1	-88.23697	100	LocalGovDeployChrisF2	41.97592	2/4/2021 23:00
9002	11	-88.12747	250	LocalGovDeployHeather	41.77482	2/4/2021 23:00
9011	11	-88.1301	254	LocalGovDeployHeather	41.77427	2/4/2021 23:00
8999	12	-88.01158	178	LocalGovDeployJohnH	41.84322	2/4/2021 23:00
9009	13	-87.99592	100	LocalGovDeployScott	41.96607	2/4/2021 23:00
9004	9	-88.11905	354	rnosek_temp	41.79668	2/4/2021 23:00
9012	9	-88.1198	348	rnosek_temp	41.79842	2/4/2021 23:00
9003	3	-88.2424	276	LocalGovDeployAndy	41.75825	2/4/2021 23:00
9023	9	-88.24297	2	LocalGovDeployAndy	41.7599	2/4/2021 23:00
9028	4	-87.99038	172	LocalGovDeployRyanN	41.96503	2/4/2021 23:01
9050	10	-87.99007	182	LocalGovDeployRyanN	41.96148	2/4/2021 23:01
9040	8	-87.95023	92	LocalGovDeployMattB	41.78858	2/4/2021 23:01
9036	9	-87.9902	174	LocalGovDeployMikeD	41.96385	2/4/2021 23:01
9041	10	-87.99	176	LocalGovDeployMikeD	41.96202	2/4/2021 23:01
9039	12	-88.2339	100	LocalGovDeployChrisF2	41.97548	2/4/2021 23:01
9042	13	-88.23087	94	LocalGovDeployChrisF2	41.97517	2/4/2021 23:01
9033	9	-88.13468	256	LocalGovDeployHeather	41.77348	2/4/2021 23:01
9049	0	-88.13687	138	LocalGovDeployHeather	41.77302	2/4/2021 23:01
9025	6	-88.0113	176	LocalGovDeployJohnH	41.83823	2/4/2021 23:01
9031	11	-88.0112	176	LocalGovDeployJohnH	41.83705	2/4/2021 23:01
9024	8	-87.99112	100	LocalGovDeployScott	41.96535	2/4/2021 23:01
9026	5	-87.99035	172	LocalGovDeployScott	41.96507	2/4/2021 23:01
9047	10	-87.98998	174	LocalGovDeployScott	41.96145	2/4/2021 23:01
9035	10	-88.11983	0	rnosek_temp	41.80125	2/4/2021 23:01
9045	12	-88.11972	8	rnosek_temp	41.80388	2/4/2021 23:01
9030	8	-88.2429	6	LocalGovDeployAndy	41.7614	2/4/2021 23:01
9053	5	-88.24275	358	LocalGovDeployAndy	41.76433	2/4/2021 23:01
9058	11	-87.98985	176	LocalGovDeployRyanN	41.95937	2/4/2021 23:02
9081	12	-87.98938	176	LocalGovDeployRyanN	41.95523	2/4/2021 23:02
9054	8	-87.94688	84	LocalGovDeployMattB	41.78862	2/4/2021 23:02
9070	7	-87.94437	78	LocalGovDeployMattB	41.78872	2/4/2021 23:02
9064	11	-87.98957	174	LocalGovDeployMikeD	41.9579	2/4/2021 23:02
9071	12	-87.98928	174	LocalGovDeployMikeD	41.95565	2/4/2021 23:02
9067	13	-88.22453	90	LocalGovDeployChrisF2	41.97483	2/4/2021 23:02
9073	13	-88.22145	88	LocalGovDeployChrisF2	41.97482	2/4/2021 23:02
9066	1	-88.13635	58	LocalGovDeployHeather	41.77318	2/4/2021 23:02
9074	3	-88.13577	82	LocalGovDeployHeather	41.77328	2/4/2021 23:02
9055	1	-88.0111	176	LocalGovDeployJohnH	41.8356	2/4/2021 23:02
9061	11	-88.0111	178	LocalGovDeployJohnH	41.83412	2/4/2021 23:02
9083	7	-88.01052	92	LocalGovDeployJohnH	41.83093	2/4/2021 23:02
9057	12	-87.98977	174	LocalGovDeployScott	41.95945	2/4/2021 23:02
9075	12	-87.98927	174	LocalGovDeployScott	41.95503	2/4/2021 23:02
9069	9	-88.1181	22	rnosek_temp	41.80752	2/4/2021 23:02
9072	12	-88.11702	24	rnosek_temp	41.80917	2/4/2021 23:02
9060	3	-88.24272	2	LocalGovDeployAndy	41.76525	2/4/2021 23:02
9082	7	-88.24257	2	LocalGovDeployAndy	41.76772	2/4/2021 23:02
9090	12	-87.98915	176	LocalGovDeployRyanN	41.95307	2/4/2021 23:03
9113	13	-87.98878	178	LocalGovDeployRyanN	41.9484	2/4/2021 23:03
9084	9	-87.94138	88	LocalGovDeployMattB	41.78895	2/4/2021 23:03
9100	9	-87.93795	88	LocalGovDeployMattB	41.78898	2/4/2021 23:03
9094	12	-87.98882	174	LocalGovDeployMikeD	41.951	2/4/2021 23:03
9102	12	-87.98872	178	LocalGovDeployMikeD	41.9488	2/4/2021 23:03
9099	14	-88.21462	86	LocalGovDeployChrisF2	41.97508	2/4/2021 23:03
9103	7	-88.21157	90	LocalGovDeployChrisF2	41.97513	2/4/2021 23:03
9098	2	-88.1337	82	LocalGovDeployHeather	41.77362	2/4/2021 23:03
9105	7	-88.13227	76	LocalGovDeployHeather	41.77387	2/4/2021 23:03
9088	13	-88.00823	88	LocalGovDeployJohnH	41.83098	2/4/2021 23:03
9107	13	-88.002	88	LocalGovDeployJohnH	41.83115	2/4/2021 23:03
9087	12	-87.98902	176	LocalGovDeployScott	41.9528	2/4/2021 23:03
9106	12	-87.9887	178	LocalGovDeployScott	41.94838	2/4/2021 23:03
9092	10	-88.11485	24	rnosek_temp	41.81268	2/4/2021 23:03
9101	11	-88.11388	20	rnosek_temp	41.81452	2/4/2021 23:03
9091	10	-88.2424	8	LocalGovDeployAndy	41.76943	2/4/2021 23:03
9114	9	-88.24137	12	LocalGovDeployAndy	41.77242	2/4/2021 23:03
9120	13	-87.98878	180	LocalGovDeployRyanN	41.94595	2/4/2021 23:04
9142	13	-87.98875	180	LocalGovDeployRyanN	41.94093	2/4/2021 23:04
9115	9	-87.93443	86	LocalGovDeployMattB	41.78905	2/4/2021 23:04
9130	9	-87.93098	88	LocalGovDeployMattB	41.78912	2/4/2021 23:04
9124	13	-87.9887	180	LocalGovDeployMikeD	41.94407	2/4/2021 23:04
9132	14	-87.98872	180	LocalGovDeployMikeD	41.94163	2/4/2021 23:04
9126	10	-88.20772	94	LocalGovDeployChrisF2	41.97498	2/4/2021 23:04
9134	10	-88.20537	92	LocalGovDeployChrisF2	41.97483	2/4/2021 23:04
9127	9	-88.1278	70	LocalGovDeployHeather	41.77477	2/4/2021 23:04
9135	10	-88.12527	72	LocalGovDeployHeather	41.77538	2/4/2021 23:04
9119	14	-87.9985	88	LocalGovDeployJohnH	41.83122	2/4/2021 23:04
9137	12	-87.99177	88	LocalGovDeployJohnH	41.83128	2/4/2021 23:04
9116	14	-87.98875	178	LocalGovDeployScott	41.94588	2/4/2021 23:04
9136	13	-87.98873	180	LocalGovDeployScott	41.94093	2/4/2021 23:04
