OID_,timestamp,heading,speedmph,vehicleid,latitude,longitude
3,44578.08138,0,0,286,43.04862245,-76.12181148
7,44578.08138,0,0,282,43.05535924,-76.10733219
8,44578.08138,251,33,281,43.06057311,-76.09531867
15,44578.08138,328,0,280,43.05599094,-76.10823431
17,44578.08138,0,0,270,43.05523204,-76.11234492
19,44578.08138,0,0,278,43.05533576,-76.11183751
22,44578.08148,0,0,286,43.04862245,-76.12181148
23,44578.08148,0,0,270,43.05523204,-76.11234492
30,44578.08148,0,0,282,43.05535924,-76.10733219
33,44578.08148,251,43,281,43.06007977,-76.09760283
40,44578.08148,328,0,280,43.05599094,-76.10823431
43,44578.08148,0,0,278,43.05533576,-76.11183751
46,44578.0816,0,0,286,43.04862245,-76.12181148
51,44578.0816,328,0,280,43.05599094,-76.10823431
53,44578.0816,0,0,270,43.05523204,-76.11234492
57,44578.0816,0,0,282,43.05535924,-76.10733219
60,44578.0816,251,42,281,43.05950699,-76.10008906
61,44578.0816,251,42,281,43.05950699,-76.10008906
64,44578.0816,0,0,278,43.05533576,-76.11183751
72,44578.08171,0,0,282,43.05535924,-76.10733219
73,44578.08171,253,39,281,43.05899401,-76.10219245
79,44578.08171,328,0,280,43.05599094,-76.10823431
82,44578.08171,0,0,278,43.05533576,-76.11183751
83,44578.08171,0,0,286,43.04862245,-76.12181148
84,44578.08171,0,0,270,43.05523204,-76.11234492
87,44578.08183,0,0,286,43.04862245,-76.12181148
88,44578.08183,0,0,270,43.05523204,-76.11234492
95,44578.08183,0,0,282,43.05535924,-76.10733219
99,44578.08183,249,17,281,43.0585404,-76.10392836
102,44578.08183,0,0,278,43.05533576,-76.11183751
107,44578.08183,328,0,280,43.05599094,-76.10823431
108,44578.08183,328,0,280,43.05599094,-76.10823431
110,44578.08194,0,0,286,43.04862245,-76.12181148
116,44578.08194,0,0,282,43.05535924,-76.10733219
117,44578.08194,0,0,281,43.05856356,-76.1039235
123,44578.08194,328,0,280,43.05599094,-76.10823431
126,44578.08194,0,0,278,43.05533576,-76.11183751
127,44578.08194,0,0,270,43.05523204,-76.11234492
130,44578.08206,0,0,286,43.04862245,-76.12181148
131,44578.08206,0,0,286,43.04862245,-76.12181148
132,44578.08206,0,0,270,43.05523204,-76.11234492
133,44578.08206,0,0,270,43.05523204,-76.11234492
139,44578.08206,0,0,282,43.05535924,-76.10733219
143,44578.08206,0,0,281,43.05857531,-76.10392445
149,44578.08206,328,0,280,43.05599094,-76.10823431
152,44578.08206,0,0,278,43.05533576,-76.11183751
153,44578.08218,98,0,286,43.04861366,-76.12178472
154,44578.08218,0,0,270,43.05523204,-76.11234492
160,44578.08218,0,0,282,43.05535924,-76.10733219
168,44578.08218,328,0,280,43.05599094,-76.10823431
169,44578.08218,328,0,280,43.05599094,-76.10823431
171,44578.08218,196,16,281,43.05817109,-76.10419527
172,44578.08218,196,16,281,43.05817109,-76.10419527
174,44578.08218,0,0,278,43.05533576,-76.11183751
176,44578.08229,133,4,286,43.04859257,-76.12163595
177,44578.08229,133,4,286,43.04859257,-76.12163595
178,44578.08229,0,0,270,43.05523204,-76.11234492
