OID_,latitude,longitude,location,speed_mph,name,timestamp
1,43.05605877,-76.11500527,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 3,2/5/2022 9:33:26
2,43.05599571,-76.11498612,"1612 Burnet Avenue, Syracuse, NY, 13206",1,SW 1,2/5/2022 9:33:54
3,43.0560305,-76.11513346,"1604 Burnet Avenue, Syracuse, NY, 13206",0,SW 1,2/5/2022 9:34:00
4,43.05612803,-76.11477815,"1612 Burnet Avenue, Syracuse, NY, 13206",1,SW 2,2/5/2022 9:34:08
5,43.0561955,-76.11490479,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 2,2/5/2022 9:34:13
6,43.05604348,-76.11496731,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 1,2/5/2022 9:34:13
7,43.05611797,-76.11501793,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 3,2/5/2022 9:34:14
8,43.05621797,-76.11489634,"1612 Burnet Avenue, Syracuse, NY, 13206",1,SW 2,2/5/2022 9:34:19
9,43.05610313,-76.11501464,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 3,2/5/2022 9:34:19
10,43.05606748,-76.11495277,"1612 Burnet Avenue, Syracuse, NY, 13206",1,SW 1,2/5/2022 9:34:21
11,43.05622656,-76.11486783,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 2,2/5/2022 9:34:25
12,43.05610958,-76.1149948,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 3,2/5/2022 9:34:25
13,43.0560991,-76.11490969,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 1,2/5/2022 9:34:27
14,43.05622736,-76.11484285,"1612 Burnet Avenue, Syracuse, NY, 13206",1,SW 2,2/5/2022 9:34:31
15,43.05611481,-76.11489718,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 1,2/5/2022 9:34:32
16,43.0560885,-76.11496912,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 3,2/5/2022 9:34:33
17,43.05622696,-76.11482225,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 2,2/5/2022 9:34:37
18,43.0561128,-76.11495893,"1612 Burnet Avenue, Syracuse, NY, 13206",3,SW 3,2/5/2022 9:34:39
19,43.05613926,-76.11491387,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 1,2/5/2022 9:34:39
20,43.05616447,-76.11491992,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 1,2/5/2022 9:34:44
21,43.05623086,-76.11482598,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 2,2/5/2022 9:34:45
22,43.05612592,-76.1149415,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 3,2/5/2022 9:34:47
23,43.05626817,-76.1148206,"1612 Burnet Avenue, Syracuse, NY, 13206",2,SW 2,2/5/2022 9:34:52
24,43.05614638,-76.11492703,"1612 Burnet Avenue, Syracuse, NY, 13206",2,SW 3,2/5/2022 9:34:55
25,43.05626319,-76.11502705,"1525 Burnet Avenue, Syracuse, NY, 13206",6,SW 2,2/5/2022 9:34:58
26,43.05623637,-76.11491659,"110 Gale Street, Syracuse, NY, 13206",3,SW 1,2/5/2022 9:34:58
27,43.05616203,-76.11494386,"1612 Burnet Avenue, Syracuse, NY, 13206",2,SW 3,2/5/2022 9:35:00
28,43.05625381,-76.11509534,"1525 Burnet Avenue, Syracuse, NY, 13206",8,SW 1,2/5/2022 9:35:03
29,43.05615227,-76.11538667,"1521 Burnet Avenue, Syracuse, NY, 13206",9,SW 2,2/5/2022 9:35:05
30,43.05617901,-76.11495873,"1612 Burnet Avenue, Syracuse, NY, 13206",0,SW 3,2/5/2022 9:35:06
31,43.05614601,-76.11546448,"1519 Burnet Avenue, Syracuse, NY, 13206",7,SW 1,2/5/2022 9:35:11
32,43.05620139,-76.1149786,"1612 Burnet Avenue, Syracuse, NY, 13206",2,SW 3,2/5/2022 9:35:11
