SpeedMetersPerSecond,Location_Longitude,HeadingDegrees,VehicleId,Location_Latitude,ReportTimeDate
0,-88.08227,178,G 14,41.88918,2/4/2021 18:00
0,-88.08227,178,G 14,41.88918,2/4/2021 18:00
1,-87.92037,230,G 13,41.93138,2/4/2021 18:01
11,-87.92338,272,G 13,41.93142,2/4/2021 18:01
12,-87.92615,270,G 13,41.9315,2/4/2021 18:02
12,-87.93222,272,G 13,41.93168,2/4/2021 18:02
4,-88.08223,146,G 14,41.889,2/4/2021 18:02
8,-88.07965,86,G 14,41.88898,2/4/2021 18:02
11,-87.93528,266,G 13,41.9317,2/4/2021 18:03
8,-87.93937,264,G 13,41.93147,2/4/2021 18:03
11,-88.07703,84,G 14,41.88915,2/4/2021 18:03
13,-88.07067,86,G 14,41.8895,2/4/2021 18:03
11,-87.94152,260,G 13,41.9314,2/4/2021 18:04
1,-87.94607,264,G 13,41.9311,2/4/2021 18:04
12,-88.06758,84,G 14,41.8897,2/4/2021 18:04
5,-88.06368,40,G 14,41.89003,2/4/2021 18:04
11,-87.94813,266,G 13,41.93105,2/4/2021 18:05
9,-87.95293,264,G 13,41.93078,2/4/2021 18:05
11,-88.06342,358,G 14,41.89407,2/4/2021 18:05
12,-88.06347,358,G 14,41.89627,2/4/2021 18:05
10,-87.95485,256,G 13,41.93067,2/4/2021 18:06
7,-87.95683,240,G 13,41.93,2/4/2021 18:06
12,-88.06335,2,G 14,41.90018,2/4/2021 18:06
11,-87.96002,218,G 13,41.92705,2/4/2021 18:07
7,-88.06312,2,G 14,41.90278,2/4/2021 18:07
0,-88.0631,4,G 14,41.90303,2/4/2021 18:07
0,-88.0631,4,G 14,41.90303,2/4/2021 18:07
0,-88.0631,4,G 14,41.90303,2/4/2021 18:07
1,-87.96137,220,G 13,41.92568,2/4/2021 18:08
9,-87.96237,214,G 13,41.92462,2/4/2021 18:08
0,-87.96365,216,G 13,41.9233,2/4/2021 18:08
9,-88.06295,4,G 14,41.90378,2/4/2021 18:08
1,-87.96367,216,G 13,41.92328,2/4/2021 18:09
10,-87.96233,124,G 13,41.92198,2/4/2021 18:09
11,-88.06278,2,G 14,41.90603,2/4/2021 18:09
11,-88.06242,4,G 14,41.90977,2/4/2021 18:09
2,-87.96143,256,G 13,41.92195,2/4/2021 18:10
4,-87.96178,276,G 13,41.9218,2/4/2021 18:10
11,-88.06202,4,G 14,41.91395,2/4/2021 18:10
11,-88.0619,4,G 14,41.91525,2/4/2021 18:10
3,-87.96367,30,G 13,41.92327,2/4/2021 18:11
10,-87.96253,34,G 13,41.92437,2/4/2021 18:11
0,-88.06167,10,G 14,41.91793,2/4/2021 18:11
1,-88.06167,10,G 14,41.91795,2/4/2021 18:11
14,-87.95875,36,G 13,41.92818,2/4/2021 18:12
12,-87.9566,52,G 13,41.92997,2/4/2021 18:12
11,-88.06203,350,G 14,41.92147,2/4/2021 18:12
13,-87.95065,84,G 13,41.93085,2/4/2021 18:13
14,-87.94742,86,G 13,41.93102,2/4/2021 18:13
16,-88.06283,352,G 14,41.92642,2/4/2021 18:13
15,-88.0633,350,G 14,41.92927,2/4/2021 18:13
12,-88.06372,354,G 14,41.93193,2/4/2021 18:13
12,-87.9409,86,G 13,41.93133,2/4/2021 18:14
12,-87.93808,86,G 13,41.93147,2/4/2021 18:14
0,-88.06397,354,G 14,41.9344,2/4/2021 18:14
0,-88.06397,354,G 14,41.9344,2/4/2021 18:14
13,-87.9317,92,G 13,41.9316,2/4/2021 18:15
13,-87.9317,92,G 13,41.9316,2/4/2021 18:15
13,-87.9317,92,G 13,41.9316,2/4/2021 18:15
13,-87.9317,92,G 13,41.9316,2/4/2021 18:15
13,-87.9317,92,G 13,41.9316,2/4/2021 18:15
13,-87.9317,92,G 13,41.9316,2/4/2021 18:15
13,-87.9317,92,G 13,41.9316,2/4/2021 18:15
7,-88.06368,80,G 14,41.93505,2/4/2021 18:15
9,-88.0555,98,G 14,41.93487,2/4/2021 18:16
9,-88.0555,98,G 14,41.93487,2/4/2021 18:16
10,-88.05305,98,G 14,41.93442,2/4/2021 18:16
8,-88.04792,102,G 14,41.93347,2/4/2021 18:17
11,-88.04413,96,G 14,41.93295,2/4/2021 18:17
13,-87.92792,270,G 13,41.9315,2/4/2021 18:18
13,-88.03953,98,G 14,41.93235,2/4/2021 18:18
14,-88.036,98,G 14,41.932,2/4/2021 18:18
14,-87.93475,268,G 13,41.9317,2/4/2021 18:19
12,-87.93793,266,G 13,41.93155,2/4/2021 18:19
0,-88.03308,100,G 14,41.9316,2/4/2021 18:19
0,-88.03308,100,G 14,41.9316,2/4/2021 18:19
4,-87.9396,0,G 13,41.93183,2/4/2021 18:20
0,-87.93975,162,G 13,41.93195,2/4/2021 18:20
0,-87.93975,162,G 13,41.93195,2/4/2021 18:20
9,-88.03165,106,G 14,41.93122,2/4/2021 18:20
1,-88.0297,10,G 14,41.93088,2/4/2021 18:20
0,-88.03167,284,G 14,41.93143,2/4/2021 18:21
0,-88.03167,284,G 14,41.93143,2/4/2021 18:21
0,-88.03167,284,G 14,41.93143,2/4/2021 18:21
1,-87.93965,176,G 13,41.93183,2/4/2021 18:22
5,-87.9401,264,G 13,41.93145,2/4/2021 18:22
13,-87.94607,266,G 13,41.93113,2/4/2021 18:22
2,-88.03167,286,G 14,41.93143,2/4/2021 18:22
12,-87.94915,266,G 13,41.93098,2/4/2021 18:23
11,-87.95538,252,G 13,41.9306,2/4/2021 18:23
14,-88.03683,278,G 14,41.9322,2/4/2021 18:23
0,-88.04153,288,G 14,41.9327,2/4/2021 18:23
0,-88.04153,288,G 14,41.9327,2/4/2021 18:23
11,-87.95758,222,G 13,41.92953,2/4/2021 18:24
12,-87.96113,214,G 13,41.92592,2/4/2021 18:24
1,-88.04158,280,G 14,41.93272,2/4/2021 18:24
8,-87.96208,216,G 13,41.92497,2/4/2021 18:25
11,-88.0431,278,G 14,41.93295,2/4/2021 18:25
12,-88.04888,282,G 14,41.93378,2/4/2021 18:25
1,-87.96395,106,G 13,41.923,2/4/2021 18:26
9,-87.96275,36,G 13,41.92417,2/4/2021 18:26
1,-87.96123,290,G 13,41.9258,2/4/2021 18:26
10,-88.0514,284,G 14,41.93422,2/4/2021 18:26
10,-88.05417,0,G 14,41.93595,2/4/2021 18:26
9,-87.96202,214,G 13,41.92508,2/4/2021 18:27
0,-87.964,228,G 13,41.92322,2/4/2021 18:27
10,-88.05413,358,G 14,41.93848,2/4/2021 18:27
3,-88.05403,48,G 14,41.94037,2/4/2021 18:27
13,-87.96658,300,G 13,41.92427,2/4/2021 18:28
15,-87.96963,298,G 13,41.92563,2/4/2021 18:28
2,-88.05078,42,G 14,41.94055,2/4/2021 18:28
12,-88.05095,350,G 14,41.94315,2/4/2021 18:28
13,-87.9758,300,G 13,41.92832,2/4/2021 18:29
0,-87.97812,286,G 13,41.9291,2/4/2021 18:29
15,-88.05108,356,G 14,41.94692,2/4/2021 18:29
12,-88.05125,358,G 14,41.95055,2/4/2021 18:29
1,-87.97855,194,G 13,41.92892,2/4/2021 18:30
11,-87.979,154,G 13,41.92628,2/4/2021 18:30
11,-88.05133,358,G 14,41.95335,2/4/2021 18:30
