SpeedMetersPerSecond,Location_Longitude,HeadingDegrees,VehicleId,Location_Latitude,ReportTimeDate
4,-88.24103,356,S 2,41.79073,2/4/2021 18:01
9,-88.24087,0,S 2,41.7922,2/4/2021 18:01
2,-87.92037,258,S 1,41.93133,2/4/2021 18:01
11,-87.92248,272,S 1,41.9314,2/4/2021 18:01
9,-87.9746,358,S 3,41.7762,2/4/2021 18:01
9,-87.97465,358,S 3,41.77798,2/4/2021 18:01
9,-87.97468,0,S 4,41.77662,2/4/2021 18:01
9,-87.97475,356,S 4,41.77873,2/4/2021 18:01
5,-87.98645,84,G 10,41.98295,2/4/2021 18:01
10,-87.98345,88,G 10,41.98308,2/4/2021 18:01
13,-88.22093,18,G 11,41.98307,2/4/2021 18:01
3,-88.24107,358,S 7,41.79075,2/4/2021 18:01
9,-88.24095,2,S 7,41.79198,2/4/2021 18:01
12,-88.16982,292,S 8,41.87407,2/4/2021 18:01
13,-88.17287,290,S 8,41.87503,2/4/2021 18:01
12,-88.22073,22,V1,41.9833,2/4/2021 18:01
13,-88.21838,14,V1,41.98772,2/4/2021 18:01
11,-88.0104,178,V2,41.81965,2/4/2021 18:01
10,-88.01073,216,V2,41.81585,2/4/2021 18:01
7,-88.24073,358,S 2,41.79375,2/4/2021 18:02
11,-88.24043,4,S 2,41.79772,2/4/2021 18:02
11,-87.92822,270,S 1,41.93155,2/4/2021 18:02
12,-87.93125,272,S 1,41.93163,2/4/2021 18:02
0,-87.97473,18,S 3,41.78067,2/4/2021 18:02
9,-87.97478,356,S 3,41.78202,2/4/2021 18:02
0,-87.97482,356,S 4,41.78082,2/4/2021 18:02
9,-87.97487,356,S 4,41.78215,2/4/2021 18:02
1,-87.98063,90,G 10,41.98295,2/4/2021 18:02
11,-87.9788,86,G 10,41.983,2/4/2021 18:02
2,-88.21825,286,G 11,41.9918,2/4/2021 18:02
2,-88.21825,286,G 11,41.9918,2/4/2021 18:02
11,-88.21842,180,G 11,41.99055,2/4/2021 18:02
11,-88.24072,2,S 7,41.79513,2/4/2021 18:02
11,-88.24052,2,S 7,41.79732,2/4/2021 18:02
13,-88.17895,280,S 8,41.87638,2/4/2021 18:02
11,-88.18192,284,S 8,41.87685,2/4/2021 18:02
15,-88.21828,358,V1,41.99035,2/4/2021 18:02
4,-88.21838,184,V1,41.99157,2/4/2021 18:02
12,-88.0114,176,V2,41.81442,2/4/2021 18:02
9,-88.01118,178,V2,41.80977,2/4/2021 18:02
10,-88.24018,4,S 2,41.79975,2/4/2021 18:03
13,-88.2395,8,S 2,41.80322,2/4/2021 18:03
8,-87.93705,266,S 1,41.9316,2/4/2021 18:03
7,-87.93873,262,S 1,41.93153,2/4/2021 18:03
10,-87.97485,358,S 3,41.7839,2/4/2021 18:03
7,-87.975,356,S 3,41.78758,2/4/2021 18:03
10,-87.97502,358,S 4,41.78497,2/4/2021 18:03
7,-87.97507,356,S 4,41.78765,2/4/2021 18:03
11,-87.97592,90,G 10,41.98303,2/4/2021 18:03
13,-88.21878,200,G 11,41.98708,2/4/2021 18:03
12,-88.22065,206,G 11,41.9837,2/4/2021 18:03
8,-88.23998,8,S 7,41.80107,2/4/2021 18:03
13,-88.2396,8,S 7,41.80303,2/4/2021 18:03
10,-88.1847,330,S 8,41.87753,2/4/2021 18:03
10,-88.18477,0,S 8,41.88122,2/4/2021 18:03
14,-88.21877,200,V1,41.9871,2/4/2021 18:03
13,-88.22002,196,V1,41.98485,2/4/2021 18:03
8,-88.01108,174,V2,41.80817,2/4/2021 18:03
4,-88.0109,122,V2,41.8073,2/4/2021 18:03
13,-88.23878,14,S 2,41.8057,2/4/2021 18:04
6,-88.23762,102,S 2,41.8079,2/4/2021 18:04
12,-87.94348,266,S 1,41.93128,2/4/2021 18:04
1,-87.9459,266,S 1,41.9312,2/4/2021 18:04
0,-87.97502,348,S 3,41.78792,2/4/2021 18:04
9,-87.9766,260,S 3,41.78823,2/4/2021 18:04
0,-87.97507,358,S 4,41.78795,2/4/2021 18:04
9,-87.97643,268,S 4,41.78817,2/4/2021 18:04
0,-87.97057,88,G 10,41.98298,2/4/2021 18:04
7,-87.96935,92,G 10,41.983,2/4/2021 18:04
9,-87.96717,92,G 10,41.98293,2/4/2021 18:04
13,-88.22197,202,G 11,41.98125,2/4/2021 18:04
12,-88.22285,180,G 11,41.97668,2/4/2021 18:04
8,-88.23813,16,S 7,41.80738,2/4/2021 18:04
4,-88.23767,96,S 7,41.80793,2/4/2021 18:04
9,-88.18472,8,S 8,41.88293,2/4/2021 18:04
5,-88.18487,308,S 8,41.88585,2/4/2021 18:04
12,-88.22257,198,V1,41.9802,2/4/2021 18:04
12,-88.2228,178,V1,41.9779,2/4/2021 18:04
6,-88.00965,176,V2,41.80587,2/4/2021 18:04
1,-88.01022,276,V2,41.80542,2/4/2021 18:04
9,-88.23547,110,S 2,41.80743,2/4/2021 18:05
11,-88.23028,80,S 2,41.8071,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
10,-87.94785,264,S 1,41.9311,2/4/2021 18:05
