SpeedMetersPerSecond,Longitude,HeadingDegrees,Username,Latitude,ReportTimeDate,Category
4,-87.98672,140,LocalGovDeployRyanN,41.98295,2/4/21 18:01,testvehicle1
9,-87.98445,86,LocalGovDeployRyanN,41.98297,2/4/21 18:01,testvehicle1
12,-88.10977,270,velocity_deploy,41.80878,2/4/21 18:01,testvehicle2
12,-88.1129,272,velocity_deploy,41.80888,2/4/21 18:01,testvehicle2
9,-87.9819,96,LocalGovDeployRyanN,41.9829,2/4/21 18:02,testvehicle1
11,-87.97882,88,LocalGovDeployRyanN,41.98292,2/4/21 18:02,testvehicle1
1,-88.11667,294,velocity_deploy,41.80903,2/4/21 18:02,testvehicle2
11,-87.97592,88,LocalGovDeployRyanN,41.983,2/4/21 18:03,testvehicle1
8,-88.1185,200,velocity_deploy,41.80715,2/4/21 18:03,testvehicle2
12,-88.11957,202,velocity_deploy,41.80532,2/4/21 18:03,testvehicle2
1,-87.97083,92,LocalGovDeployRyanN,41.98302,2/4/21 18:04,testvehicle1
7,-87.96952,92,LocalGovDeployRyanN,41.98302,2/4/21 18:04,testvehicle1
10,-87.96723,92,LocalGovDeployRyanN,41.98287,2/4/21 18:04,testvehicle1
9,-88.12,178,velocity_deploy,41.80212,2/4/21 18:04,testvehicle2
9,-88.12,180,velocity_deploy,41.80043,2/4/21 18:04,testvehicle2
11,-87.96223,100,LocalGovDeployRyanN,41.98255,2/4/21 18:05,testvehicle1
0,-87.96038,94,LocalGovDeployRyanN,41.98232,2/4/21 18:05,testvehicle1
9,-88.11928,170,velocity_deploy,41.79695,2/4/21 18:05,testvehicle2
6,-88.11955,264,velocity_deploy,41.79605,2/4/21 18:05,testvehicle2
4,-88.12205,8,velocity_deploy,41.79623,2/4/21 18:05,testvehicle2
0,-87.96033,88,LocalGovDeployRyanN,41.98232,2/4/21 18:06,testvehicle1
9,-87.95863,100,LocalGovDeployRyanN,41.9821,2/4/21 18:06,testvehicle1
8,-88.12125,20,velocity_deploy,41.79787,2/4/21 18:06,testvehicle2
0,-88.1204,54,velocity_deploy,41.79892,2/4/21 18:06,testvehicle2
9,-87.95622,104,LocalGovDeployRyanN,41.98175,2/4/21 18:07,testvehicle1
0,-87.95302,104,LocalGovDeployRyanN,41.9811,2/4/21 18:07,testvehicle1
1,-88.12027,52,velocity_deploy,41.79893,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
0,-88.12015,354,velocity_deploy,41.79918,2/4/21 18:07,testvehicle2
